loss,val_loss,PSNR,MS_SSIM,val_PSNR,val_MS_SSIM,lr
0.1173443155538322,0.0898178348938624,15.333695411682127,0.4520729482173919,16.72454071044922,0.5368937849998474,0.001
0.101927866665726,0.07223138846457,16.251007080078125,0.5052668452262878,17.676898956298828,0.5823112726211548,0.001
0.0929387118189762,0.0809315117696921,16.82102394104004,0.542120099067688,17.624656677246094,0.5872219800949097,0.001
0.0914123320044615,0.077856812501947,16.900028228759766,0.5549106597900391,17.77667236328125,0.6064475178718567,0.001
0.0856519415337815,0.0941187359392643,17.286846160888672,0.58232182264328,17.071447372436523,0.597694993019104,0.001
0.0863827796828033,0.0747300652166207,17.362407684326172,0.6070113778114319,17.996551513671875,0.6344723105430603,0.001
0.0839935310630716,0.061301714554429,17.445980072021484,0.6172441840171814,18.2409782409668,0.6421157121658325,0.001
0.0825724533289416,0.0793508062760035,17.68993377685547,0.6321350336074829,18.02438735961914,0.625230073928833,0.001
0.0777993626956246,0.084854623923699,17.88117790222168,0.6506497263908386,18.102617263793945,0.6717769503593445,0.001
0.0791578502672859,0.066404956827561,17.857322692871094,0.6532846689224243,18.4578800201416,0.656932532787323,0.001
0.0753594464025436,0.0644790202379226,18.08143424987793,0.6577664613723755,18.55619430541992,0.6753785610198975,0.0005
0.0740048042856729,0.0597601766387621,18.18083000183105,0.6614172458648682,18.597505569458008,0.6855149865150452,0.0005
0.0721749962331392,0.0569133994479974,18.28249931335449,0.668550968170166,18.91560935974121,0.6770962476730347,0.0005
0.0712104418720954,0.0572232272475957,18.372390747070312,0.6742628216743469,18.79827308654785,0.673271656036377,0.0005
0.0729358131304765,0.0562902557353178,18.22937393188477,0.6718161106109619,18.699928283691406,0.6615434288978577,0.0005
0.071022673167734,0.0645072234173615,18.342681884765625,0.6712813377380371,18.515024185180664,0.6876813173294067,0.0005
0.0691423863172531,0.0703112918883562,18.450746536254883,0.6771642565727234,18.40236091613769,0.6862503886222839,0.0005
