loss,val_loss,PSNR,MS_SSIM,val_PSNR,val_MS_SSIM
0.13734311495835966,0.08016548864543438,12.042754173278809,0.4846709668636322,13.761412620544434,0.5299978852272034
0.09143554269630685,0.08083081804215908,13.389250755310059,0.5924562811851501,14.030091285705566,0.6572173833847046
0.08270049053761694,0.06737547901769479,13.890649795532227,0.623161256313324,14.674217224121094,0.5995504856109619
0.07472888119200356,0.06363784161706766,14.50534725189209,0.6747704148292542,15.167835235595703,0.6613999605178833
0.070829025700561,0.06341205375889937,14.799757957458496,0.6924210786819458,15.459858894348145,0.7311010360717773
0.06987151293418346,0.060249499728282294,14.88591480255127,0.7051013112068176,15.728484153747559,0.7271023988723755
0.0654334892383498,0.0587039848168691,15.276106834411621,0.7204587459564209,15.940507888793945,0.7573126554489136
0.0653469404603681,0.05796264869471391,15.312302589416504,0.7248504161834717,15.955684661865234,0.7635374665260315
0.06263504919205976,0.06079821214079857,15.53933334350586,0.7402384281158447,15.314958572387695,0.6874238848686218
0.06104306863923358,0.0572793859988451,15.676210403442383,0.7381510138511658,15.79018497467041,0.7309086322784424
